cell,cell_type,sample_type
X130624798218462.N,pDC,N
X130624798219060.N,Pro-angiogenesis Macrophage,N
X130624810801006.N,Effector/Memory CD4+ T cells,N
X130624811129061.N,CD4+ T cell,N
X130624829905245.N,Macrophage,N
X130624830261084.N,Pro-angiogenesis Macrophage,N
X130675115415339.N,Pro-angiogenesis Macrophage,N
X130675115673332.N,Pro-angiogenesis Macrophage,N
X130675130199387.N,Pro-angiogenesis Macrophage,N
X130675130358566.N,Macrophage,N
X130675130416421.N,Pro-angiogenesis Macrophage,N
X130675142159262.N,Effector/Memory CD4+ T cells,N
X130675142187316.N,Pro-angiogenesis Macrophage,N
X130675161127774.N,Pro-angiogenesis Macrophage,N
X130693115071390.N,Lung Cancer Cell,N
X130693115071708.N,Effector/Memory CD8+ T cells,N
X130693115526517.N,Pro-angiogenesis Macrophage,N
X130693127330678.N,Pro-angiogenesis Macrophage,N
X130693127429478.N,Effector/Memory CD4+ T cells,N
X130693127596382.N,Pro-angiogenesis Macrophage,N
X130693127685982.N,Effector/Memory CD4+ T cells,N
X130693146261854.N,Macrophage,N
X130736318211870.N,CD4+ T cell,N
X130736318437166.N,Macrophage,N
X130736318540651.N,Pro-angiogenesis Macrophage,N
X130736345434486.N,Effector/Memory CD4+ T cells,N
X130736345732974.N,Pro-angiogenesis Macrophage,N
X130736346226085.N,Effector/Memory CD4+ T cells,N
X130736364305709.N,Pro-angiogenesis Macrophage,N
X130736364406710.N,Pro-angiogenesis Macrophage,N
X130754438155557.N,Pro-angiogenesis Macrophage,N
X130754438356387.N,Effector/Memory CD4+ T cells,N
X130754438416619.N,Pro-angiogenesis Macrophage,N
X130754452245340.N,Pro-angiogenesis Macrophage,N
X130754452540141.N,Pro-angiogenesis Macrophage,N
X130754464869675.N,Pro-angiogenesis Macrophage,N
X130754465119542.N,Pro-angiogenesis Macrophage,N
X130754483969443.N,Natural killer cell,N
X130761015093550.N,Pro-angiogenesis Macrophage,N
X130761042357083.N,Natural killer cell,N
X130761060439787.N,Pro-angiogenesis Macrophage,N
X131089713552605.N,Pro-angiogenesis Macrophage,N
X131089728464756.N,Pro-angiogenesis Macrophage,N
X131089728694643.N,Macrophage,N
X131089728911605.N,Any Cell,N
X131089728980782.N,Pro-angiogenesis Macrophage,N
X131089740774619.N,Macrophage,N
X131089741335974.N,Pro-angiogenesis Macrophage,N
X131089760406325.N,Pro-angiogenesis Macrophage,N
X131089760470876.N,Natural killer cell,N
X131097900735324.N,Pro-angiogenesis Macrophage,N
X131097900738867.N,Pro-angiogenesis Macrophage,N
X131097900825501.N,Pro-angiogenesis Macrophage,N
X131097916029300.N,Natural killer cell,N
X131097916201251.N,Natural killer cell,N
X131097916262190.N,Effector/Memory CD4+ T cells,N
X131097928789299.N,Effector/Memory CD8+ T cells,N
X131175210498270.N,Pro-angiogenesis Macrophage,N
X131175224855270.N,Phagocytosis Macrophage,N
X131175224860011.N,CD4 or CD8 T cell,N
X131175224919923.N,Pro-angiogenesis Macrophage,N
X131175225087782.N,Pro-angiogenesis Macrophage,N
X131175225380078.N,Pro-angiogenesis Macrophage,N
X131175238228252.N,Pro-angiogenesis Macrophage,N
X131175256288494.N,Pro-angiogenesis Macrophage,N
X131175256542125.N,Pro-angiogenesis Macrophage,N
X131175256569718.N,Pro-angiogenesis Macrophage,N
X131175257102747.N,Pro-angiogenesis Macrophage,N
X131217354602269.N,Pro-angiogenesis Macrophage,N
X131217354812710.N,Pro-angiogenesis Macrophage,N
X131217369225966.N,Macrophage,N
X131217381837534.N,Effector/Memory CD4+ T cells,N
X131217382324518.N,Effector/Memory CD4+ T cells,N
X131217382389662.N,Natural killer cell,N
X131234266266333.N,Effector/Memory CD4+ T cells,N
X131234280925020.N,Pro-angiogenesis Macrophage,N
X131234293734750.N,Effector/Memory CD8+ T cells,N
X131234294094134.N,Effector/Memory CD4+ T cells,N
X131234312145244.N,Effector/Memory CD4+ T cells,N
X131234312174963.N,Natural killer cell,N
X131234312178406.N,Effector/Memory CD4+ T cells,N
X131234312407397.N,Macrophage,N
X131242051198372.N,Pro-angiogenesis Macrophage,N
X131242051352862.N,Pro-angiogenesis Macrophage,N
X131242065312179.N,Pro-angiogenesis Macrophage,N
X131242065840557.N,Pro-angiogenesis Macrophage,N
X131242066032885.N,Effector/Memory CD4+ T cells,N
X131242078129525.N,Effector/Memory CD4+ T cells,N
X131242078131958.N,Pro-inflammatory Macrophage,N
X131242078420395.N,Natural killer cell,N
X131242097031516.N,Pro-angiogenesis Macrophage,N
X131242097240476.N,Natural killer cell,N
X131242097273123.N,Pro-angiogenesis Macrophage,N
X131242097589612.N,T or NK Cell,N
X131293455957406.N,CD4 or CD8 T cell,N
X131293470640556.N,Effector/Memory CD8+ T cells,N
X131293471165683.N,Effector/Memory CD4+ T cells,N
X131293471428014.N,Pro-angiogenesis Macrophage,N
X131293484104053.N,Effector/Memory CD4+ T cells,N
X131293502420773.N,Macrophage,N
X131293502687148.N,Blood Cell,N
X131293502953310.N,Pro-angiogenesis Macrophage,N
X131309562423013.N,Pro-angiogenesis Macrophage,N
X131309577386356.N,Phagocytosis Macrophage,N
X131309577562419.N,Pro-angiogenesis Macrophage,N
X131309589419812.N,Pro-angiogenesis Macrophage,N
X131309590141740.N,Pro-angiogenesis Macrophage,N
X131309608295206.N,Non Blood Cell,N
X131309608790948.N,Natural killer cell,N
X131309608818461.N,Natural killer cell,N
X131309609077108.N,Pro-angiogenesis Macrophage,N
X131310502393773.N,Natural killer cell,N
X131310516849902.N,Macrophage,N
X131310516911324.N,Pro-angiogenesis Macrophage,N
X131310529133917.N,Pro-angiogenesis Macrophage,N
X131310529165684.N,Lung Cancer Cell,N
X131310548564715.N,Pro-angiogenesis Macrophage,N
X133829902880037.N,Pro-angiogenesis Macrophage,N
X133829902939955.N,Effector/Memory CD4+ T cells,N
X133829903365940.N,Effector/Memory CD4+ T cells,N
X133829903407405.N,Pro-angiogenesis Macrophage,N
X133829917333283.N,Pro-angiogenesis Macrophage,N
X133829929945524.N,Pro-angiogenesis Macrophage,N
X133829949286702.N,Effector/Memory CD4+ T cells,N
X133829949602653.N,Pro-inflammatory Macrophage,N
X133854464695542.N,Pro-angiogenesis Macrophage,N
X133854479637723.N,Pro-angiogenesis Macrophage,N
X133854491757915.N,Pro-angiogenesis Macrophage,N
X133854491982196.N,Pro-angiogenesis Macrophage,N
X133854492485340.N,Blood Cell,N
X133854511426859.N,Pro-angiogenesis Macrophage,N
X133895266879405.N,Pro-angiogenesis Macrophage,N
X133895266912997.N,Normal Fibroblast,N
X133895313021363.N,Natural killer cell,N
X133895313025380.N,Pro-angiogenesis Macrophage,N
X133895313091486.N,Natural killer cell,N
X133974589359925.N,Natural killer cell,N
X133974589853036.N,Pro-angiogenesis Macrophage,N
X133974589885276.N,Natural killer cell,N
X133974590142884.N,Pro-angiogenesis Macrophage,N
X133974604045021.N,Effector/Memory CD4+ T cells,N
X133974604077284.N,Pro-angiogenesis Macrophage,N
X133974604242278.N,Pro-angiogenesis Macrophage,N
X133974616557942.N,Pro-angiogenesis Macrophage,N
X133974616623838.N,CD8+ T cell,N
X133974617110822.N,Pro-angiogenesis Macrophage,N
X133974617377182.N,Effector/Memory CD4+ T cells,N
X133974617413878.N,Pro-angiogenesis Macrophage,N
X133974635764134.N,Macrophage,N
X133974636256043.N,Effector/Memory CD4+ T cells,N
X133982105855715.N,Pro-angiogenesis Macrophage,N
X133982106041779.N,Phagocytosis Macrophage,N
X133982106335091.N,Pro-angiogenesis Macrophage,N
X133982132783462.N,cDC2,N
X133982133082534.N,Effector/Memory CD4+ T cells,N
X133982133283741.N,Non Stromal Cell,N
X133982152153437.N,Natural killer cell,N
X134033645169965.N,Natural killer cell,N
X134033645680557.N,Macrophage,N
X134033672395060.N,Macrophage,N
X134033691293996.N,Naive CD4+ T cells,N
X134033691597037.N,Effector/Memory CD4+ T cells,N
X134033691851635.N,Effector/Memory CD8+ T cells,N
X134033692048107.N,Natural killer cell,N
X134041161382813.N,Macrophage,N
X134041161619236.N,Pro-angiogenesis Macrophage,N
X134041162135918.N,Lung Cancer Cell,N
X134041175996268.N,Pro-angiogenesis Macrophage,N
X134041176497371.N,Pro-inflammatory Macrophage,N
X134041176856795.N,Pro-angiogenesis Macrophage,N
X134041207692019.N,Pro-angiogenesis Macrophage,N
X134041207756531.N,Natural killer cell,N
X134041208048347.N,Effector/Memory CD4+ T cells,N
X134376303020332.N,Pro-angiogenesis Macrophage,N
X134376303220587.N,Pro-angiogenesis Macrophage,N
X134376330218739.N,Natural killer cell,N
X134376330222877.N,Pro-angiogenesis Macrophage,N
X134376330578268.N,Effector/Memory CD4+ T cells,N
X134376330774772.N,Natural killer cell,N
X134376330848107.N,Pro-angiogenesis Macrophage,N
X134376349187443.N,Pro-angiogenesis Macrophage,N
X134376349616029.N,Pro-angiogenesis Macrophage,N
X134377511446387.N,Effector/Memory CD4+ T cells,N
X134377525668637.N,Pro-angiogenesis Macrophage,N
X134377538963883.N,Pro-angiogenesis Macrophage,N
X134377539037411.N,Pro-angiogenesis Macrophage,N
X134377557120747.N,Pro-angiogenesis Macrophage,N
X134447975811315.N,Pro-angiogenesis Macrophage,N
X134447976070430.N,Pro-angiogenesis Macrophage,N
X134447990167909.N,Pro-angiogenesis Macrophage,N
X134447990430949.N,Natural killer cell,N
X134448022174443.N,Macrophage,N
X134448022174939.N,Natural killer cell,N
X134472805566764.N,Endothelial Cells,N
X134472805771126.N,Effector/Memory CD4+ T cells,N
X134472806063540.N,Pro-angiogenesis Macrophage,N
X134472820710708.N,Pro-angiogenesis Macrophage,N
X134472820999965.N,Effector/Memory CD8+ T cells,N
X134472832765171.N,Pro-angiogenesis Macrophage,N
X134472833064245.N,Pro-angiogenesis Macrophage,N
X134472851671403.N,Pro-angiogenesis Macrophage,N
X134472851973979.N,Effector/Memory CD4+ T cells,N
X134472852171109.N,Pro-angiogenesis Macrophage,N
X134522332662502.N,Pro-angiogenesis Macrophage,N
X134522346555318.N,Effector/Memory CD4+ T cells,N
X134522346618270.N,Pro-angiogenesis Macrophage,N
X134522346847469.N,Blood Cell,N
X134522347154211.N,Effector/Memory CD8+ T cells,N
X134522347338612.N,Pro-angiogenesis Macrophage,N
X134522359167398.N,Pro-angiogenesis Macrophage,N
X134522359471342.N,Effector/Memory CD8+ T cells,N
X134522359994718.N,Effector/Memory CD4+ T cells,N
X134522377977139.N,Effector/Memory CD4+ T cells,N
X134522378053918.N,Pro-angiogenesis Macrophage,N
X134522378603227.N,Pro-angiogenesis Macrophage,N
X134522378771877.N,pDC,N
X134522378835676.N,Pro-angiogenesis Macrophage,N
X134522378860790.N,Effector/Memory CD4+ T cells,N
X134530788092333.N,Macrophage,N
X134530788183283.N,Pro-angiogenesis Macrophage,N
X134530802767588.N,Effector/Memory CD8+ T cells,N
X134530802861931.N,Pro-angiogenesis Macrophage,N
X134530815617332.N,Pro-angiogenesis Macrophage,N
X134530833771748.N,Natural killer cell,N
X134530833995684.N,Natural killer cell,N
X134531727349686.N,Blood Cell,N
X134531727441309.N,Pro-angiogenesis Macrophage,N
X134531727869787.N,Pro-angiogenesis Macrophage,N
X134531741824868.N,Pro-angiogenesis Macrophage,N
X134531741833643.N,Pro-angiogenesis Macrophage,N
X134531742055670.N,Pro-angiogenesis Macrophage,N
X134531742059894.N,Pro-angiogenesis Macrophage,N
X134531742087022.N,pDC,N
X134531742353261.N,Pro-angiogenesis Macrophage,N
X134531742653852.N,Pro-angiogenesis Macrophage,N
X134531773315500.N,Effector/Memory CD4+ T cells,N
X134531773491622.N,Effector/Memory CD4+ T cells,N
X134539645994739.N,Endothelial Cells,N
X134539646262628.N,Pro-angiogenesis Macrophage,N
X134539646553331.N,Effector/Memory CD4+ T cells,N
X134539660971236.N,Pro-angiogenesis Macrophage,N
X134539660975398.N,Pro-angiogenesis Macrophage,N
X134539673299364.N,Pro-angiogenesis Macrophage,N
X134539692173100.N,Pro-angiogenesis Macrophage,N
X134539692662044.N,Natural killer cell,N
X134540451794284.N,Pro-angiogenesis Macrophage,N
X134540452022621.N,Effector/Memory CD8+ T cells,N
X134540452088165.N,Effector/Memory CD4+ T cells,N
X134540466014574.N,Effector/Memory CD4+ T cells,N
X134540466538716.N,Pro-angiogenesis Macrophage,N
X134540478559981.N,Pro-angiogenesis Macrophage,N
X134540478597939.N,Lung Cancer Cell,N
X134540478798619.N,Naive CD4+ T cells,N
X134540479052075.N,Natural killer cell,N
X134540497677037.N,Pro-angiogenesis Macrophage,N
X134540497698078.N,Effector/Memory CD4+ T cells,N
X134592125130525.N,Effector/Memory CD8+ T cells,N
X134592125659995.N,Lung Cancer Cell,N
X134592125684979.N,Effector/Memory CD4+ T cells,N
X134592125942070.N,Effector/Memory CD4+ T cells,N
X134592140065205.N,Pro-angiogenesis Macrophage,N
X134592140588918.N,Pro-angiogenesis Macrophage,N
X134592152652140.N,Pro-angiogenesis Macrophage,N
X134592171460980.N,Effector/Memory CD4+ T cells,N
X134592171498411.N,Naive CD4+ T cells,N
X134592171526501.N,Pro-angiogenesis Macrophage,N
X134592171526901.N,Natural killer cell,N
X134592171752308.N,Effector/Memory CD4+ T cells,N
X134600580873117.N,pDC,N
X134600581311789.N,Natural killer cell,N
X134600595519276.N,Pro-angiogenesis Macrophage,N
X134600595524892.N,Natural killer cell,N
X134600596285803.N,Macrophage,N
X134600608147870.N,Pro-angiogenesis Macrophage,N
X134600608594669.N,Naive CD4+ T cells,N
X134936662788509.N,CD8 T or NK cell,N
X134936676690156.N,Natural killer cell,N
X134936676984604.N,Natural killer cell,N
X134936677497590.N,Pro-angiogenesis Macrophage,N
X134936689589542.N,cDC2,N
X134936689794403.N,Pro-angiogenesis Macrophage,N
X134936689797411.N,Pro-angiogenesis Macrophage,N
X134936708110707.N,Pro-angiogenesis Macrophage,N
X134936708724653.N,Naive CD4+ T cells,N
X134936708921075.N,Pro-angiogenesis Macrophage,N
X134938004703156.N,Pro-angiogenesis Macrophage,N
X134938018835230.N,Pro-angiogenesis Macrophage,N
X134938019186989.N,Pro-angiogenesis Macrophage,N
X134938032266547.N,Pro-angiogenesis Macrophage,N
X134938051112308.N,Natural killer cell,N
X135014240697139.N,Pro-angiogenesis Macrophage,N
X135014267148068.N,Normal Fibroblast,N
X135014267180899.N,Macrophage,N
X135014267439838.N,Pro-angiogenesis Macrophage,N
X135014267448611.N,Pro-angiogenesis Macrophage,N
X135014267602797.N,Macrophage,N
X135014267931886.N,Pro-angiogenesis Macrophage,N
X135064437348700.N,Natural killer cell,N
X135064437582619.N,Pro-angiogenesis Macrophage,N
X135064452787444.N,Pro-angiogenesis Macrophage,N
X135064483712349.N,Pro-angiogenesis Macrophage,N
X135081886104365.N,Pro-angiogenesis Macrophage,N
X135081886116708.N,Pro-angiogenesis Macrophage,N
X135081886149539.N,Natural killer cell,N
X135081913169710.N,Blood Cell,N
X135081913182004.N,Blood Cell,N
X135081913640814.N,Effector/Memory CD4+ T cells,N
X135081913662686.N,Macrophage,N
X135081931795307.N,pDC,N
X135081931954979.N,Pro-angiogenesis Macrophage,N
X135081931959076.N,Pro-angiogenesis Macrophage,N
X135081932016949.N,Mast cell,N
X135081932307828.N,Natural killer cell,N
X135081932318430.N,Effector/Memory CD4+ T cells,N
X135081932568822.N,Pro-angiogenesis Macrophage,N
X135149143840995.N,Pro-angiogenesis Macrophage,N
X135149156679006.N,Pro-angiogenesis Macrophage,N
X135149175594334.N,Pro-angiogenesis Macrophage,N
X135150471141156.N,Pro-angiogenesis Macrophage,N
X135150471329581.N,Blood Cell,N
X135150471395245.N,Pro-angiogenesis Macrophage,N
X135150471407413.N,Pro-angiogenesis Macrophage,N
X135150486308637.N,Pro-angiogenesis Macrophage,N
X135150498700509.N,Natural killer cell,N
X135150498856229.N,Lung Cancer Cell,N
X135150498900398.N,Pro-angiogenesis Macrophage,N
X135150517540660.N,Pro-angiogenesis Macrophage,N
X135571511929691.N,Effector/Memory CD4+ T cells,N
X135571512126758.N,Pro-angiogenesis Macrophage,N
X135571512441205.N,Pro-angiogenesis Macrophage,N
X135571526863222.N,CAFadi,N
X135571527056228.N,Effector/Memory CD4+ T cells,N
X135571527289782.N,Natural killer cell,N
X135571539192228.N,Blood Cell,N
X135571539417907.N,Effector/Memory CD4+ T cells,N
X135571539454684.N,Macrophage,N
X135571558513524.N,Pro-angiogenesis Macrophage,N
X135699958290668.N,Blood Cell,N
X135699958806901.N,CAFadi,N
X135699959003942.N,Pro-angiogenesis Macrophage,N
X135699972906412.N,Effector/Memory CD4+ T cells,N
X135699972970205.N,Pro-angiogenesis Macrophage,N
X135699973192117.N,Effector/Memory CD4+ T cells,N
X135699973233883.N,Non Blood Cell,N
X135699973692764.N,Effector/Memory CD4+ T cells,N
X135699973696862.N,Effector/Memory CD4+ T cells,N
X135699973752750.N,Effector/Memory CD4+ T cells,N
X135700004395292.N,Pro-angiogenesis Macrophage,N
X135700005141227.N,Pro-angiogenesis Macrophage,N
X135700005178155.N,Pro-angiogenesis Macrophage,N
X155842549860212.N,Pro-angiogenesis Macrophage,N
X155842550066020.N,Lung Cancer Cell,N
X155842564214195.N,Natural killer cell,N
X155842564811997.N,Natural killer cell,N
X155842565060843.N,Pro-angiogenesis Macrophage,N
X155842565064622.N,Pro-angiogenesis Macrophage,N
X155842596256678.N,Endothelial Cells,N
X155842596457269.N,Pro-angiogenesis Macrophage,N
X155842596460766.N,Pro-angiogenesis Macrophage,N
X155842596489500.N,Effector/Memory CD4+ T cells,N
X155888854719285.N,Naive CD4+ T cells,N
X155888869625059.N,Macrophage,N
X155888869885805.N,Pro-angiogenesis Macrophage,N
X155888870082419.N,Blood Cell,N
X155888870092197.N,Pro-angiogenesis Macrophage,N
X155888882173798.N,Effector/Memory CD8+ T cells,N
X155888882503078.N,Effector/Memory CD4+ T cells,N
X155888901548398.N,Pro-angiogenesis Macrophage,N
X155888901569259.N,Natural killer cell,N
X155911403235046.N,CD4 or CD8 T cell,N
X155911403554606.N,Effector/Memory CD4+ T cells,N
X155911404010278.N,Effector/Memory CD8+ T cells,N
X155911404018547.N,Natural killer cell,N
X155911417936286.N,Effector/Memory CD8+ T cells,N
X155911417944862.N,Pro-inflammatory Macrophage,N
X155911417969958.N,Effector/Memory CD4+ T cells,N
X155911418140454.N,Stromal Cell,N
X155911418235110.N,Pro-angiogenesis Macrophage,N
X155911418402667.N,Blood Cell,N
X155911430552358.N,Pro-angiogenesis Macrophage,N
X155911449332149.N,Pro-angiogenesis Macrophage,N
X155971398588150.N,Effector/Memory CD4+ T cells,N
X155971398842158.N,Effector/Memory CD4+ T cells,N
X155971413240748.N,Pro-angiogenesis Macrophage,N
X155971413564710.N,Natural killer cell,N
X155971414084979.N,Pro-angiogenesis Macrophage,N
X155971426405093.N,Endothelial Cells,N
X155971426674483.N,Lung Cancer Cell,N
X155972606474667.N,Pro-angiogenesis Macrophage,N
X155972606834595.N,Naive CD4+ T cells,N
X155972621724980.N,Effector/Memory CD4+ T cells,N
X155972633745821.N,Pro-angiogenesis Macrophage,N
X155972652952363.N,Pro-angiogenesis Macrophage,N
X156024146873068.N,Pro-angiogenesis Macrophage,N
X156024146914101.N,Effector/Memory CD8+ T cells,N
X156024160799462.N,Pro-angiogenesis Macrophage,N
X156024161090923.N,Pro-angiogenesis Macrophage,N
X156024161123179.N,Pro-angiogenesis Macrophage,N
X156024173976797.N,Macrophage,N
X156024192559915.N,Pro-angiogenesis Macrophage,N
X156024192808692.N,Pro-angiogenesis Macrophage,N
X156024193043172.N,Pro-angiogenesis Macrophage,N
X156453508930996.N,LAMP3 cDC,N
